Age;Total;0;1;2;3;4;Unknown;numbertot;number0;number1;number2;number3;number4;numberunknown
Total;89.3;100;100;86.2;57.2;19.9;83.4;302763;45033;108346;91989;16928;11222;29245
20-34;77.8;98.7;94.5;77.6;50.5;17.5;74.4;6802;563;1565;3042;649;291;692
35-39;83.5;99.7;95.1;82.1;55.8;19.4;79.4;12827;1665;3343;5231;1021;384;1183
40-44;88;99.9;97;86.3;59.4;25.8;83;24914;4615;7127;8790;1667;683;2032
45-49;89.5;100;97.6;87.8;62.6;25.4;85.2;33784;6382;10400;11427;2132;968;2475
50-54;89.5;100;98.3;86.7;59.2;20.5;85.4;34868;6462;12023;10857;1943;1147;2436
55-59;89.6;100;99;87.5;57.5;19.5;84.6;32701;5496;12029;9920;1636;1234;2386
60-64;90.1;100;100;86.7;57.3;18.9;86.3;32680;4930;12949;9306;1587;1308;2600
65-69;91;100;100;87.8;57.6;20.3;84.6;34435;4986;14194;9404;1542;1374;2935
70-74;91.8;100;100;87.2;57.8;17.7;86.9;32686;4363;13731;8697;1408;1299;3188
75-79;91.4;100;100;86.2;54.8;15.6;82.4;27134;3141;11101;7295;1335;1147;3115
80-84;90.7;100;100;87;52.5;20.7;77.6;17475;1683;6461;4684;999;792;2856
85+;86.6;100;100;83.9;41.5;14.8;78.9;12457;747;3423;3336;1009;595;3347
