;Number;Total;1;2;3;4;Unknown
Total;257730;87.1;100.0;86.2;57.2;19.9;83.4
Adeno, NOS;5559;62.2;99.0;81.4;49.4;15.3;64.9
Tubular adeno;3771;100.0;100.0;95.8;;;99.7
Infiltrating duct;183122;87.5;100.0;85.1;57.5;20.3;83.6
Scirrhous adeno;456;81.7;94.3;83.9;;13.5;71.7
Mucinous adeno;6476;98.3;100.0;94.8;75.0;33.8;95.7
Comedo;5020;89.9;99.3;82.7;51.3;19.4;96.0
Lobular;20140;91.6;100.0;93.0;72.6;30.5;87.9
Infiltrating duct & lobular;16060;92.9;100.0;91.4;69.8;29.0;89.5
Inflammatory carcinoma;2668;34.1;;49.5;40.9;11.2;21.6
Paget;1937;82.6;95.8;77.7;46.3;14.3;93.0
Papillary adeno;1646;94.5;100.0;92.3;85.7;34.2;92.6
Adenoid cystic/cribriform;712;100.0;100.0;95.3;;;96.3
Other adeno;4261;89.1;98.7;88.8;57.7;21.2;84.6
Medullary;3122;89.5;98.2;88.8;63.2;29.6;75.1
Other Non-adeno;5785;64.8;99.2;80.1;42.4;13.8;70.1
